location[0],location[1],index,state,age,if_migra,mature,div_time,maxDiv,nDiv,cell_cycle,life_span,prob,prob_0,EGFR,IGF1R,AKT,ERK,a_ERK,a_AKT,GSK3b,IRF1,Gal9,pten
53,53,98,quiescent,31.5,15,14,15,8,1,14,192,1,0.15067,0.206763,0.228825,0.847441,0.845647,7.15,44,0.542757,0.602216,0.678439,0
51,54,99,quiescent,17.5,35,14,17.5,8,0,14,192,1,0.150659,0.206694,0.228198,0.847321,0.84556,7.15,44,0.542737,0.602194,0.678408,0
53,54,100,quiescent,51,6,14,15.5,8,2,14,192,1,0.150678,0.206825,0.229341,0.847541,0.845718,7.15,44,0.542775,0.602235,0.678467,0
45,46,101,quiescent,50,4,14,15.5,8,2,14,192,1,0.150633,0.206606,0.226662,0.847018,0.845347,7.15,44,0.542682,0.602134,0.678323,0
52,54,102,quiescent,33.5,19,14,17.5,8,1,14,192,1,0.150667,0.20675,0.228685,0.847415,0.845627,7.15,44,0.542753,0.602212,0.678433,0
43,51,103,quiescent,42,36,14,14,8,2,14,192,1,0.150634,0.206545,0.226742,0.84703,0.845359,7.15,44,0.542681,0.602133,0.678321,0
52,44,104,quiescent,32.5,17,14,17,8,1,14,192,1,0.150655,0.206717,0.227949,0.847272,0.845526,7.15,44,0.542724,0.602179,0.678381,0
43,50,105,quiescent,29.5,11,14,14.5,8,1,14,192,1,0.150633,0.206553,0.226687,0.84702,0.845351,7.15,44,0.542679,0.602131,0.678319,0
46,46,106,quiescent,39.5,31,14,24,8,1,14,192,1,0.150629,0.206563,0.226413,0.84697,0.845313,7.15,44,0.542673,0.602125,0.678308,0
47,45,107,quiescent,39,30,14,18.5,8,1,14,192,1,0.150633,0.206592,0.226644,0.847018,0.845345,7.15,44,0.542682,0.602135,0.678322,0
54,52,108,quiescent,35,22,14,19.5,8,1,14,192,1,0.150674,0.206795,0.22908,0.84749,0.845682,7.15,44,0.542765,0.602224,0.678452,0
42,49,109,quiescent,48.5,1,14,17,8,2,14,192,1,0.150642,0.206642,0.227229,0.847126,0.845427,7.15,44,0.542697,0.60215,0.678347,0
43,52,110,quiescent,34,20,14,14.5,8,1,14,192,1,0.150637,0.206554,0.226922,0.847064,0.845384,7.15,44,0.542687,0.60214,0.678332,0
44,53,111,quiescent,29.5,11,14,14.5,8,1,14,192,1,0.150639,0.206555,0.227015,0.847083,0.845396,7.15,44,0.542693,0.602146,0.678341,0
51,44,112,quiescent,30.5,13,14,14,8,1,14,192,1,0.150649,0.206676,0.22757,0.847199,0.845473,7.15,44,0.542712,0.602166,0.678362,0
53,44,113,quiescent,42,36,14,27,8,1,14,192,1,0.150663,0.206771,0.228419,0.847363,0.845591,7.15,44,0.54274,0.602196,0.678406,0
43,53,114,quiescent,55.5,15,14,25.5,8,2,14,192,1,0.150642,0.206582,0.227245,0.847126,0.845428,7.15,44,0.542699,0.602153,0.678351,0
45,53,115,quiescent,19,38,14,19,8,0,14,192,1,0.150636,0.206536,0.226857,0.847055,0.845374,7.15,44,0.542688,0.602141,0.678334,0
44,46,116,quiescent,53.5,11,14,21.5,8,2,14,192,1,0.150639,0.206664,0.227032,0.84709,0.845399,7.15,44,0.542694,0.602148,0.678343,0
55,51,117,quiescent,29,10,14,15,8,1,14,192,1,0.150679,0.206838,0.229372,0.847546,0.845723,7.15,44,0.542774,0.602234,0.678465,0
56,51,118,quiescent,80.5,17,14,35.5,8,3,14,192,1,0.150691,0.206929,0.230113,0.847687,0.845825,7.15,44,0.542798,0.60226,0.678502,0
49,55,119,quiescent,47,46,14,19,8,1,14,192,1,0.15066,0.206703,0.228225,0.847326,0.845564,7.15,44,0.542738,0.602196,0.678411,0
54,53,120,quiescent,39,30,14,18.5,8,1,14,192,1,0.150683,0.206856,0.229639,0.847597,0.84576,7.15,44,0.542784,0.602245,0.678482,0
48,43,121,quiescent,30.5,13,14,15.5,8,1,14,192,1,0.150649,0.206717,0.227582,0.847202,0.845475,7.15,44,0.542715,0.602171,0.678371,0
49,43,122,quiescent,32.5,17,14,16.5,8,1,14,192,1,0.15065,0.206711,0.227644,0.847214,0.845483,7.15,44,0.542716,0.602171,0.67837,0
55,48,123,quiescent,15,30,14,15,8,0,14,192,1,0.15067,0.206803,0.228856,0.847446,0.845651,7.15,44,0.542754,0.602212,0.678431,0
46,43,124,quiescent,47,46,14,17,8,2,14,192,1,0.150653,0.206777,0.227811,0.847247,0.845507,7.15,44,0.542724,0.60218,0.678387,0
54,45,125,quiescent,52,8,14,17,8,2,14,192,1,0.150666,0.206793,0.228633,0.847404,0.845621,7.15,44,0.542746,0.602203,0.678418,0
46,54,126,quiescent,35,22,14,19.5,8,1,14,192,1,0.150644,0.206587,0.227309,0.847145,0.845437,7.15,44,0.542706,0.60216,0.678361,0
50,55,127,quiescent,35,22,14,17.5,8,1,14,192,1,0.150664,0.206732,0.228467,0.847373,0.845598,7.15,44,0.542747,0.602205,0.678424,0
43,48,128,quiescent,60.5,25,14,38,8,1,14,192,1,0.150637,0.206618,0.226908,0.847065,0.845382,7.15,44,0.542688,0.60214,0.678333,0
55,46,129,quiescent,30,12,14,14.5,8,1,14,192,1,0.150674,0.206846,0.229099,0.847493,0.845685,7.15,44,0.542761,0.60222,0.678442,0
56,48,130,quiescent,44.5,41,14,14,8,2,14,192,1,0.150684,0.206907,0.229687,0.847605,0.845766,7.15,44,0.542781,0.602241,0.678473,0
42,52,131,quiescent,50.5,5,14,15,8,2,14,192,1,0.150643,0.206594,0.227274,0.847132,0.845433,7.15,44,0.542698,0.602152,0.678349,0
54,54,132,quiescent,48,0,14,31.5,8,1,14,192,1,0.150693,0.206922,0.230218,0.847708,0.845839,7.15,44,0.542804,0.602267,0.678513,0
45,54,133,quiescent,29,10,14,14.5,8,1,14,192,1,0.150645,0.206593,0.227381,0.847158,0.845447,7.15,44,0.542708,0.602162,0.678365,0
47,43,134,quiescent,46.5,45,14,22,8,1,14,192,1,0.15065,0.206739,0.227635,0.847212,0.845482,7.15,44,0.542718,0.602174,0.678376,0
54,44,135,quiescent,51,6,14,35,8,1,14,192,1,0.150672,0.206838,0.228982,0.847471,0.845669,7.15,44,0.542758,0.602216,0.678435,0
51,55,136,quiescent,37,26,14,17,8,1,14,192,1,0.150669,0.20677,0.2288,0.847437,0.845643,7.15,44,0.542758,0.602217,0.678441,0
52,55,137,quiescent,33.5,19,14,15.5,8,1,14,192,1,0.150677,0.20682,0.229246,0.847523,0.845705,7.15,44,0.542773,0.602233,0.678464,0
42,51,138,quiescent,45.5,43,14,17,8,2,14,192,1,0.150641,0.206592,0.227142,0.847108,0.845415,7.15,44,0.542693,0.602146,0.678341,0
51,43,139,quiescent,51,6,14,16.5,8,2,14,192,1,0.150657,0.206747,0.228101,0.847302,0.845547,7.15,44,0.542729,0.602185,0.678388,0
56,47,140,quiescent,41.5,35,14,26.5,8,1,14,192,1,0.150685,0.206927,0.229791,0.847625,0.845781,7.15,44,0.542784,0.602245,0.678478,0
45,45,141,quiescent,32,16,14,14.5,8,1,14,192,1,0.15064,0.206671,0.227057,0.847096,0.845402,7.15,44,0.542696,0.60215,0.678345,0
53,55,142,quiescent,46.5,45,14,15,8,2,14,192,1,0.150686,0.206889,0.229835,0.847636,0.845786,7.15,44,0.542792,0.602254,0.678494,0
46,45,143,quiescent,37,26,14,21.5,8,1,14,192,1,0.150635,0.206624,0.226792,0.847046,0.845365,7.15,44,0.542687,0.60214,0.67833,0
42,48,144,quiescent,34.5,21,14,17.5,8,1,14,192,1,0.150646,0.20669,0.22744,0.847168,0.845456,7.15,44,0.542705,0.602159,0.67836,0
41,48,145,quiescent,56,16,14,19,8,2,14,192,1,0.150656,0.206774,0.228067,0.847288,0.845543,7.15,44,0.542725,0.602181,0.678391,0
55,53,146,quiescent,36,24,14,22,8,1,14,192,1,0.1507,0.206966,0.230639,0.847787,0.845897,7.15,44,0.542818,0.602282,0.678534,0
44,54,147,quiescent,45,42,14,25.5,8,1,14,192,1,0.150647,0.206607,0.227522,0.847184,0.845467,7.15,44,0.542711,0.602166,0.67837,0
46,55,148,quiescent,45,42,14,15,8,2,14,192,1,0.150655,0.206665,0.227968,0.847274,0.845529,7.15,44,0.542729,0.602186,0.678398,0
43,54,149,quiescent,29.5,11,14,15.5,8,1,14,192,1,0.150651,0.206629,0.227731,0.847222,0.845495,7.15,44,0.542717,0.602173,0.67838,0
53,43,150,quiescent,50,4,14,18,8,2,14,192,1,0.150671,0.206834,0.228916,0.847459,0.84566,7.15,44,0.542756,0.602214,0.67843,0
50,43,151,quiescent,33,18,14,15,8,1,14,192,1,0.150653,0.206721,0.227819,0.847248,0.845508,7.15,44,0.542721,0.602176,0.678376,0
46,44,152,quiescent,34.5,21,14,19.5,8,1,14,192,1,0.150643,0.206696,0.227266,0.84714,0.845431,7.15,44,0.542705,0.602159,0.678358,0
43,47,153,quiescent,38,28,14,24,8,1,14,192,1,0.150641,0.206671,0.227168,0.847116,0.845418,7.15,44,0.542697,0.602151,0.678348,0
56,50,154,quiescent,34,20,14,14.5,8,1,14,192,1,0.150686,0.206903,0.229804,0.847628,0.845782,7.15,44,0.542787,0.602248,0.678484,0
55,52,155,quiescent,16.5,33,14,16.5,8,0,14,192,1,0.150687,0.20689,0.229892,0.847645,0.845794,7.15,44,0.542792,0.602254,0.678494,0
43,46,156,quiescent,40,32,14,20.5,8,1,14,192,1,0.150647,0.206737,0.227522,0.847185,0.845467,7.15,44,0.542711,0.602165,0.678369,0
56,49,157,quiescent,32,16,14,14,8,1,14,192,1,0.150684,0.206898,0.229679,0.847604,0.845765,7.15,44,0.542782,0.602242,0.678475,0
